Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
A3,UEMSTAyCM CBTA,01_2019,636,01,2019
B0,Bachilleres,01_2019,8477,01,2019
C1,CONALEP,01_2019,6088,01,2019
D4,UEMSTIS,01_2019,14553,01,2019
G2,Dirección General del Bachillerato,01_2019,630,01,2019
I5,IPN,01_2019,42121,01,2019
M9,UAEM,01_2019,1154,01,2019
NO,Desconocido,01_2019,0,01,2019
S0,SE - COBAEM,01_2019,3610,01,2019
S1,SE - CONALEP ESTADO DE MÉXICO,01_2019,8521,01,2019
S2,SE - TELEBACHILLERATO,01_2019,474,01,2019
S4,SE - CBT,01_2019,11037,01,2019
S5,SE - CECYTEM,01_2019,8077,01,2019
S7,SE - P.O. (1),01_2019,17466,01,2019
S8,SE - P.O. (2),01_2019,11955,01,2019
T3,UEMSTAyCM CMM,01_2019,74,01,2019
U6,UNAM,01_2019,175286,01,2019
A3,UEMSTAyCM CBTA,02_2019,570,02,2019
B0,Bachilleres,02_2019,12161,02,2019
C1,CONALEP,02_2019,7461,02,2019
D4,UEMSTIS,02_2019,16998,02,2019
G2,Dirección General del Bachillerato,02_2019,615,02,2019
I5,IPN,02_2019,40670,02,2019
M9,UAEM,02_2019,961,02,2019
NO,Desconocido,02_2019,756,02,2019
S0,SE - COBAEM,02_2019,3744,02,2019
S1,SE - CONALEP ESTADO DE MÉXICO,02_2019,9476,02,2019
S2,SE - TELEBACHILLERATO,02_2019,422,02,2019
S4,SE - CBT,02_2019,13139,02,2019
S5,SE - CECYTEM,02_2019,9633,02,2019
S7,SE - P.O. (1),02_2019,20287,02,2019
S8,SE - P.O. (2),02_2019,14139,02,2019
T3,UEMSTAyCM CMM,02_2019,87,02,2019
U6,UNAM,02_2019,159040,02,2019
A3,UEMSTAyCM CBTA,03_2019,708,03,2019
B0,Bachilleres,03_2019,17804,03,2019
C1,CONALEP,03_2019,8645,03,2019
D4,UEMSTIS,03_2019,20520,03,2019
G2,Dirección General del Bachillerato,03_2019,772,03,2019
I5,IPN,03_2019,45460,03,2019
M9,UAEM,03_2019,952,03,2019
NO,Desconocido,03_2019,2661,03,2019
S0,SE - COBAEM,03_2019,4041,03,2019
S1,SE - CONALEP ESTADO DE MÉXICO,03_2019,10347,03,2019
S2,SE - TELEBACHILLERATO,03_2019,601,03,2019
S4,SE - CBT,03_2019,14187,03,2019
S5,SE - CECYTEM,03_2019,10246,03,2019
S7,SE - P.O. (1),03_2019,23034,03,2019
S8,SE - P.O. (2),03_2019,15935,03,2019
T3,UEMSTAyCM CMM,03_2019,148,03,2019
U6,UNAM,03_2019,134098,03,2019
A3,UEMSTAyCM CBTA,04_2019,832,04,2019
B0,Bachilleres,04_2019,23496,04,2019
